city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Goodnews Bay,Goodnews Bay,AK,Alaska,2050,Bethel,59.1271,-161.5753,113,13.1,shape,FALSE,TRUE,America/Anchorage,3,99589,1840023357
Aleknagik,Aleknagik,AK,Alaska,2070,Dillingham,59.2946,-158.6896,109,1.6,shape,FALSE,TRUE,America/Anchorage,3,99555,1840023277
Larsen Bay,Larsen Bay,AK,Alaska,2150,Kodiak Island,57.5404,-154.0056,108,10.3,shape,FALSE,TRUE,America/Anchorage,3,99624,1840023302
Nelchina,Nelchina,AK,Alaska,2066,Copper River,61.9989,-146.8111,106,0,shape,FALSE,FALSE,America/Anchorage,3,99588,1840023658
Chalkyitsik,Chalkyitsik,AK,Alaska,2290,Yukon-Koyukuk,66.6469,-143.7821,103,4.7,shape,FALSE,FALSE,America/Anchorage,3,99788,1840023434
Venetie,Venetie,AK,Alaska,2290,Yukon-Koyukuk,67.0206,-146.3741,102,1.7,shape,FALSE,FALSE,America/Anchorage,3,99781,1840023441
Chitina,Chitina,AK,Alaska,2066,Copper River,61.5276,-144.2991,100,0,shape,FALSE,FALSE,America/Anchorage,3,99566,1840023394
Newhalen,Newhalen,AK,Alaska,2164,Lake and Peninsula,59.727,-154.897,100,6.4,shape,FALSE,TRUE,America/Anchorage,3,99606,1840023295
Ouzinkie,Ouzinkie,AK,Alaska,2150,Kodiak Island,57.9223,-152.4674,97,6.8,shape,FALSE,TRUE,America/Anchorage,3,99644,1840023304
Naukati Bay,Naukati Bay,AK,Alaska,2198,Prince of Wales-Hyder,55.8801,-133.1992,97,7.8,shape,FALSE,FALSE,America/Sitka,3,99921,1840023516
False Pass,False Pass,AK,Alaska,2013,Aleutians East,54.8416,-163.348,95,1.5,shape,FALSE,TRUE,America/Nome,3,99583,1840000481
Perryville,Perryville,AK,Alaska,2164,Lake and Peninsula,55.9315,-159.1559,95,3.3,shape,FALSE,FALSE,America/Anchorage,3,99648,1840023290
Eagle,Eagle,AK,Alaska,2240,Southeast Fairbanks,64.7813,-141.1979,94,41.2,shape,FALSE,TRUE,America/Anchorage,3,99738,1840023475
Mentasta Lake,Mentasta Lake,AK,Alaska,2066,Copper River,62.9867,-143.5191,94,0,shape,FALSE,FALSE,America/Anchorage,3,99780 99586,1840023391
Central,Central,AK,Alaska,2290,Yukon-Koyukuk,65.5213,-144.6409,93,0.1,shape,FALSE,FALSE,America/Anchorage,3,99730,1840023433
Kokhanok,Kokhanok,AK,Alaska,2164,Lake and Peninsula,59.4158,-154.7457,91,1.7,shape,FALSE,FALSE,America/Anchorage,3,99606,1840023555
Chuathbaluk,Chuathbaluk,AK,Alaska,2050,Bethel,61.5746,-159.2489,89,7.7,shape,FALSE,TRUE,America/Anchorage,3,99557,1840023355
Nikolai,Nikolai,AK,Alaska,2290,Yukon-Koyukuk,63.0095,-154.3763,89,7.8,shape,FALSE,TRUE,America/Anchorage,3,99691,1840023456
Klukwan,Klukwan,AK,Alaska,2105,Hoonah-Angoon,59.3987,-135.8886,89,27.2,shape,FALSE,FALSE,America/Juneau,3,99827,1840023677
Slana,Slana,AK,Alaska,2066,Copper River,62.6294,-143.567,88,0,shape,FALSE,FALSE,America/Anchorage,3,99586,1840023399
Anvik,Anvik,AK,Alaska,2290,Yukon-Koyukuk,62.6541,-160.214,85,3.5,shape,FALSE,TRUE,America/Anchorage,3,99558,1840023444
Fort Greely,Fort Greely,AK,Alaska,2240,Southeast Fairbanks,63.9678,-145.7149,85,3,shape,TRUE,TRUE,America/Anchorage,5,99737,1840037586
Nelson Lagoon,Nelson Lagoon,AK,Alaska,2013,Aleutians East,55.8451,-161.6103,83,0,shape,FALSE,FALSE,America/Anchorage,3,99571,1840023624
Beaver,Beaver,AK,Alaska,2290,Yukon-Koyukuk,66.383,-147.3219,82,1.5,shape,FALSE,FALSE,America/Anchorage,3,99724,1840023432
Moose Pass,Moose Pass,AK,Alaska,2122,Kenai Peninsula,60.4997,-149.4464,79,1.7,shape,FALSE,FALSE,America/Anchorage,3,99631,1840023408
Crown Point,Crown Point,AK,Alaska,2122,Kenai Peninsula,60.4267,-149.353,76,8.2,shape,FALSE,FALSE,America/Anchorage,3,99664,1840023617
Port Heiden,Port Heiden,AK,Alaska,2164,Lake and Peninsula,56.9426,-158.6047,73,0.3,shape,FALSE,TRUE,America/Anchorage,3,99549,1840000498
Skwentna,Skwentna,AK,Alaska,2170,Matanuska-Susitna,61.9314,-151.2096,73,0,shape,FALSE,FALSE,America/Anchorage,3,99667 99688,1840023373
Nondalton,Nondalton,AK,Alaska,2164,Lake and Peninsula,59.9711,-154.8627,73,4.2,shape,FALSE,TRUE,America/Anchorage,3,99640,1840023296
Gulkana,Gulkana,AK,Alaska,2066,Copper River,62.2155,-145.4449,73,0,shape,FALSE,FALSE,America/Anchorage,3,99588,1840023388
Kasaan,Kasaan,AK,Alaska,2198,Prince of Wales-Hyder,55.5572,-132.4136,72,4.6,shape,FALSE,TRUE,America/Sitka,3,99919,1840023522
Igiugig,Igiugig,AK,Alaska,2164,Lake and Peninsula,59.3056,-155.8739,68,1.2,shape,FALSE,FALSE,America/Anchorage,3,99613,1840023283
Twin Hills,Twin Hills,AK,Alaska,2070,Dillingham,59.0815,-160.2826,68,1.1,shape,FALSE,FALSE,America/Anchorage,3,99576,1840023616
Nightmute,Nightmute,AK,Alaska,2050,Bethel,60.4874,-164.8195,67,0.1,shape,FALSE,TRUE,America/Nome,3,99690,1840023363
Takotna,Takotna,AK,Alaska,2290,Yukon-Koyukuk,62.9827,-156.0838,67,1.1,shape,FALSE,FALSE,America/Anchorage,3,99675,1840023440
South Naknek,South Naknek,AK,Alaska,2060,Bristol Bay,58.6637,-156.9908,66,0.1,shape,FALSE,FALSE,America/Anchorage,3,99670,1840023274
Silver Springs,Silver Springs,AK,Alaska,2066,Copper River,62.0193,-145.3584,66,9.9,shape,FALSE,TRUE,America/Anchorage,5,99573,1840075105
Excursion Inlet,Excursion Inlet,AK,Alaska,2100,Haines,58.4354,-135.3733,66,0.1,shape,FALSE,FALSE,America/Juneau,3,99850 99827,1840023316
Eagle Village,Eagle Village,AK,Alaska,2240,Southeast Fairbanks,64.7434,-141.1138,64,1.5,shape,FALSE,FALSE,America/Anchorage,3,99738,1840023467
